location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Kukatpally,7098999,1190,2,0,0,0,0,1
Kukatpally,11100000,1730,3,0,0,0,0,1
Kondapur,7240000,1165,2,0,1,1,0,1
East Marredpally,10000000,1670,3,0,0,0,0,1
Hitech City,13000000,1350,3,1,1,1,1,1
Sri Nagar Colony,43000000,4780,4,0,0,0,0,0
Serilingampally,8900000,1836,3,0,0,0,0,1
West Marredpally,15000000,1970,3,0,0,0,0,0
West Marredpally,15000000,1970,3,0,0,0,0,0
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Kukatpally,12000000,2000,3,0,1,1,0,1
Kondapur,7744000,1210,2,0,1,1,0,1
Kondapur,9760000,1535,3,0,1,1,0,1
Kondapur,8500000,1315,2,0,1,1,0,1
AS Rao Nagar,2500000,680,1,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Malkajgiri,8200000,1200,2,0,0,0,0,0
Kokapet,10800000,1735,3,0,0,0,0,1
Jubilee Hills,27500000,2500,3,0,0,0,0,0
Kondapur,35000000,3959,4,0,0,0,0,1
Narsingi,9822000,1889,3,0,1,1,0,1
Kondapur,30000000,4500,4,0,0,0,0,0
Jubilee Hills,27500000,2500,3,0,0,0,0,0
Alwal,4880000,1220,2,0,0,0,0,1
Miyapur,9984000,1920,3,0,0,0,0,0
West Marredpally,25000000,2700,4,0,0,0,0,0
Mettuguda,5400000,1300,3,0,0,0,0,0
Banjara Hills,15000000,2100,3,0,0,0,0,1
Miyapur,9984000,1920,3,0,0,0,0,1
Miyapur,10000000,1925,3,0,0,0,0,1
Kondapur,11800000,1885,2,0,1,1,0,1
Gajularamaram,4542000,1010,2,0,0,0,0,1
Kukatpally,10900000,1695,3,0,0,0,0,1
Kukatpally,7098999,1090,2,0,0,0,0,1
Jubilee Hills,46000000,3100,3,0,0,0,0,1
Jubilee Hills,19800000,2200,3,0,0,0,0,1
Kondapur,7600000,1521,3,0,0,0,0,1
Kokapet,18000000,2490,3,0,0,0,0,1
Narsingi,12300000,1675,3,0,1,1,0,1
Narsingi,12300000,1675,3,0,1,1,0,1
Nizampet,5500000,1260,2,0,0,0,0,0
Nizampet,3700000,1105,2,0,0,0,0,0
Narsingi,12300000,1675,3,0,1,1,0,1
Narsingi,12300000,1675,3,0,1,1,0,1
Narsingi,12300000,1675,3,0,1,1,0,1
Narsingi,12300000,1675,3,0,1,1,0,1
Nizampet,4850000,1200,2,0,0,0,0,0
Nizampet,4850000,1200,2,0,0,0,0,0
Nizampet,4850000,1200,2,0,0,0,0,0
Nizampet,4850000,1200,2,0,0,0,0,0
Nizampet,4850000,1200,2,0,0,0,0,0
Begumpet,4500000,900,2,0,0,0,0,0
Malkajgiri,7600000,1710,3,0,0,0,0,0
Sri Nagar Colony,8600000,1242,3,0,0,0,0,1
Malkajgiri,7500000,1705,3,0,0,0,0,0
Malkajgiri,5200000,1050,2,0,0,0,0,0
Mehdipatnam,5700000,1225,3,0,0,0,0,1
Gajularamaram,6931000,1555,3,0,0,0,0,1
Venkat Nagar Colony,10800000,1675,3,0,0,0,0,1
Kukatpally,10900000,1695,3,0,0,0,0,1
Kokapet,13000000,1945,3,0,1,0,0,0
